BASE_YM,BASE_YEAR,BASE_MT,CTPRVN_CD,CTPRVN_NM,SCRNG_MOVIE_CO,MOVIE_ADNC_CO,EXPNDTR_PRICE,POPLTN_PER_MOVIE_ADNC_CO,MOVIE_ADNC_CO_SCORE,EXPNDTR_PRICE_SCORE,GNRLZ_SCORE,STDR_SCRNG_MOVIE_CO,STDR_MOVIE_ADNC_CO,STDR_EXPNDTR_PRICE
202201,2022,01,00,전국,369,5718042,55601495920.00000,110.74507,43.55441,39.96889,41.76165,234.58333,2410351.25000,25540506805.66667
202201,2022,01,11,서울시,198,1619018,16190480280.00000,170.31671,66.98306,63.21554,65.09930,234.58333,2410351.25000,25540506805.66667
202201,2022,01,26,부산시,107,376814,3622142250.00000,112.51961,44.25231,40.14443,42.19837,234.58333,2410351.25000,25540506805.66667
202201,2022,01,27,대구시,73,246003,2345741320.00000,103.19532,40.58521,36.52232,38.55376,234.58333,2410351.25000,25540506805.66667
202201,2022,01,28,인천시,81,283103,2823359180.00000,95.99478,37.75334,35.53267,36.64300,234.58333,2410351.25000,25540506805.66667
202201,2022,01,29,광주시,64,171478,1625086790.00000,118.94681,46.78003,41.83883,44.30943,234.58333,2410351.25000,25540506805.66667
202201,2022,01,30,대전시,79,194823,1912241580.00000,134.24293,52.79577,48.90491,50.85034,234.58333,2410351.25000,25540506805.66667
202201,2022,01,31,울산시,48,120397,1162748240.00000,107.39185,42.23564,38.49461,40.36512,234.58333,2410351.25000,25540506805.66667
202201,2022,01,36,세종시,25,32731,318868020.00000,87.42791,34.38412,31.61261,32.99836,234.58333,2410351.25000,25540506805.66667
202201,2022,01,41,경기도,101,1457516,14329687810.00000,107.39575,42.23717,39.18944,40.71330,234.58333,2410351.25000,25540506805.66667
202201,2022,01,43,충청북도,59,140930,1324529810.00000,88.24135,34.70403,30.78145,32.74274,234.58333,2410351.25000,25540506805.66667
202201,2022,01,44,충청남도,127,188890,1805330630.00000,89.15634,35.06388,31.62704,33.34546,234.58333,2410351.25000,25540506805.66667
202201,2022,01,45,전라북도,112,164703,1532108580.00000,92.25033,36.28070,31.85037,34.06554,234.58333,2410351.25000,25540506805.66667
202201,2022,01,46,전라남도,44,103903,942161660.00000,56.69692,22.29807,19.08163,20.68985,234.58333,2410351.25000,25540506805.66667
202201,2022,01,47,경상북도,88,173477,1608110540.00000,66.10385,25.99767,22.74361,24.37064,234.58333,2410351.25000,25540506805.66667
202201,2022,01,48,경상남도,103,251734,2301061450.00000,76.01954,29.89737,25.79112,27.84424,234.58333,2410351.25000,25540506805.66667
202201,2022,01,50,제주도,26,67783,639027900.00000,100.16832,39.39473,35.05000,37.22236,234.58333,2410351.25000,25540506805.66667
202201,2022,01,51,강원도,53,124739,1118809880.00000,81.06989,31.88360,26.98809,29.43585,234.58333,2410351.25000,25540506805.66667
202202,2022,02,00,전국,332,3272423,30948351160.00000,63.38765,24.92943,22.25007,23.58975,234.58333,2410351.25000,25540506805.66667
202202,2022,02,11,서울시,200,1009945,9599953020.00000,106.21551,41.77300,37.47295,39.62298,234.58333,2410351.25000,25540506805.66667
202202,2022,02,26,부산시,107,217884,2048354890.00000,65.09060,25.59918,22.71207,24.15562,234.58333,2410351.25000,25540506805.66667
202202,2022,02,27,대구시,77,138653,1297872080.00000,58.23077,22.90131,20.23083,21.56607,234.58333,2410351.25000,25540506805.66667
202202,2022,02,28,인천시,89,157668,1535418250.00000,53.42907,21.01287,19.31165,20.16226,234.58333,2410351.25000,25540506805.66667
202202,2022,02,29,광주시,70,101479,935294300.00000,70.46996,27.71480,24.10653,25.91067,234.58333,2410351.25000,25540506805.66667
202202,2022,02,30,대전시,78,106122,1022318750.00000,73.14410,28.76650,26.15284,27.45967,234.58333,2410351.25000,25540506805.66667
202202,2022,02,31,울산시,56,63912,606685470.00000,57.09253,22.45365,20.11495,21.28430,234.58333,2410351.25000,25540506805.66667
202202,2022,02,36,세종시,30,16913,162397880.00000,44.93370,17.67176,16.01365,16.84271,234.58333,2410351.25000,25540506805.66667
202202,2022,02,41,경기도,104,795128,7676439740.00000,58.57569,23.03696,20.98934,22.01315,234.58333,2410351.25000,25540506805.66667
202202,2022,02,43,충청북도,55,76804,710163300.00000,48.09201,18.91388,16.50463,17.70926,234.58333,2410351.25000,25540506805.66667
202202,2022,02,44,충청남도,98,102030,953752240.00000,48.15207,18.93750,16.70634,17.82192,234.58333,2410351.25000,25540506805.66667
202202,2022,02,45,전라북도,94,93924,860728730.00000,52.65025,20.70657,17.90807,19.30732,234.58333,2410351.25000,25540506805.66667
202202,2022,02,46,전라남도,42,58394,519958630.00000,31.88401,12.53951,10.53737,11.53844,234.58333,2410351.25000,25540506805.66667
202202,2022,02,47,경상북도,89,91503,836640870.00000,34.89782,13.72480,11.84297,12.78389,234.58333,2410351.25000,25540506805.66667
202202,2022,02,48,경상남도,97,141185,1275136480.00000,42.69271,16.79042,14.31134,15.55088,234.58333,2410351.25000,25540506805.66667
202202,2022,02,50,제주도,31,34190,316299600.00000,50.49155,19.85759,17.33711,18.59735,234.58333,2410351.25000,25540506805.66667
202202,2022,02,51,강원도,64,66689,590936930.00000,43.33125,17.04154,14.25104,15.64629,234.58333,2410351.25000,25540506805.66667
202203,2022,03,00,전국,376,2799690,27013331686.00000,54.24631,21.33428,19.42661,20.38044,234.58333,2410351.25000,25540506805.66667
202203,2022,03,11,서울시,206,927395,9113257206.00000,97.55093,38.36535,35.57942,36.97238,234.58333,2410351.25000,25540506805.66667
202203,2022,03,26,부산시,127,196174,1839754630.00000,58.67318,23.07530,20.42286,21.74908,234.58333,2410351.25000,25540506805.66667
202203,2022,03,27,대구시,81,120857,1140428550.00000,50.76971,19.96698,17.78114,18.87406,234.58333,2410351.25000,25540506805.66667
202203,2022,03,28,인천시,98,135598,1331110680.00000,45.92341,18.06100,16.73222,17.39661,234.58333,2410351.25000,25540506805.66667
202203,2022,03,29,광주시,75,81743,765306070.00000,56.82663,22.34908,19.74672,21.04790,234.58333,2410351.25000,25540506805.66667
202203,2022,03,30,대전시,86,93038,908612170.00000,64.16162,25.23382,23.25691,24.24537,234.58333,2410351.25000,25540506805.66667
202203,2022,03,31,울산시,60,50669,486368260.00000,45.32070,17.82397,16.14649,16.98523,234.58333,2410351.25000,25540506805.66667
202203,2022,03,36,세종시,29,14662,143736820.00000,38.86074,15.28336,14.13984,14.71160,234.58333,2410351.25000,25540506805.66667
202203,2022,03,41,경기도,105,663551,6514745820.00000,48.87700,19.22261,17.81092,18.51676,234.58333,2410351.25000,25540506805.66667
202203,2022,03,43,충청북도,67,59140,556939700.00000,37.02072,14.55970,12.93988,13.74979,234.58333,2410351.25000,25540506805.66667
202203,2022,03,44,충청남도,112,81791,778411700.00000,38.59706,15.17966,13.63379,14.40673,234.58333,2410351.25000,25540506805.66667
202203,2022,03,45,전라북도,114,68948,639752380.00000,38.68691,15.21499,13.32333,14.26916,234.58333,2410351.25000,25540506805.66667
202203,2022,03,46,전라남도,55,42390,383610160.00000,23.17025,9.11252,7.78244,8.44748,234.58333,2410351.25000,25540506805.66667
202203,2022,03,47,경상북도,105,72839,670820250.00000,27.80495,10.93528,9.50436,10.21982,234.58333,2410351.25000,25540506805.66667
202203,2022,03,48,경상남도,80,110691,1011624590.00000,33.50948,13.17879,11.36667,12.27273,234.58333,2410351.25000,25540506805.66667
